canonical_smiles,pIC50
O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(Oc2ccccc2)cc1,7.522878745280337
O=C(CCn1c2c(c(=O)[nH]c1=O)CCCC2)NCC(=O)c1ccccc1,6.346787486224656
O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(N2CCCC2)cc1,7.920818753952375
O=C(CCn1c2c(c(=O)[nH]c1=O)COCC2)NCC(=O)N1CCN(c2ncccn2)CC1,6.096910013008056
O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1cccc(-c2ccccc2)c1,7.154901959985743
O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(-c2cncnc2)cc1,7.602059991327962
O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2ncccc2C(F)(F)F)CC1,7.397940008672037
O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2cccnn2)CC1,7.698970004336019
O=C(CCCCCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2ncccn2)CC1,6.6020599913279625
O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc2ccccc2c1,8.070581074285707
O=C(CCn1c2c(c(=O)[nH]c1=O)CCCC2)NCC(=O)c1ccc2ccccc2c1,7.602059991327962
O=C(Cn1c2c(c(=O)[nH]c1=O)CSCC2)NCCC(=O)N1CCN(c2ncccn2)CC1,7.221848749616356
O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2ncccn2)CC1,7.698970004336019
O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(OC(F)F)cc1,7.522878745280337
O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(Cl)cc1,7.221848749616356
COc1ccc(C(=O)CNC(=O)CCn2c3c(c(=O)[nH]c2=O)CSCC3)cc1,7.602059991327962
CN(CC(=O)c1ccc2ccccc2c1)C(=O)CCn1c2c(c(=O)[nH]c1=O)CCCC2,6.3979400086720375
Oc1nc2ccc(N3CCC(N4CCCC4)CC3)nc2c2ccccc12,7.1249387366083
Oc1nc2ccc(N3C[C@H]4C[C@@H]3CN4)nc2c2ccccc12,7.376750709602099
Oc1nc2ccncc2c2ccccc12,6.892790030352131
CC(C)(C)OC(=O)N1C[C@H]2C[C@@H]1CN2c1ccc2nc(O)c3ccccc3c2n1,6.111259039317107
Oc1nc2ccc(NCCN3CCOCC3)nc2c2ccccc12,6.4698003017969175
CN(C)CC(=O)Nc1ccc2nc(O)c3ccccc3c2n1,7.008773924307505
O=C(CN1CCCCC1)Nc1ccc2nc(O)c3ccccc3c2n1,6.823908740944319
NC(=O)c1cccnc1,3.677780705266081
O=c1[nH]c2cccnc2c2ccccc12,6.935542010773082
CCN(CC)CCNc1ccc2nc(O)c3ccccc3c2n1,6.761953896871205
O=C(CN1CCC(N2CCCC2)CC1)Nc1ccc2nc(O)c3ccccc3c2n1,6.847711655616943
O=C(CN1CCC(N2CCCC2)CC1)Nc1cnc2c(c1)nc(O)c1ccccc12,6.872895201635193
Oc1nc2ccc(N3CCNCC3)nc2c2ccccc12,7.236572006437063
C[N+]1([O-])CCN(c2ccc3nc(O)c4ccccc4c3n2)CC1,6.607303046740334
Nc1ccc2nc(O)c3ccccc3c2n1,6.679853713888946
CN1C[C@H]2C[C@@H]1CN2c1ccc2nc(O)c3ccccc3c2n1,7.292429823902063
Oc1nc2ncccc2c2ccccc12,6.507239610973162
CC(C)N1CCN(CC(=O)Nc2ccc3nc(O)c4ccccc4c3n2)CC1,6.557520230935552
Oc1nc2ccc(N3CCN(CC4CC4)CC3)nc2c2ccccc12,7.1487416512809245
Nc1cnc2c(c1)[nH]c(=O)c1ccccc12,6.7447274948966935
O=C(CN1CCCCC1)Nc1cnc2c(c1)nc(O)c1ccccc12,6.954677021213342
CN(C)C1CCN(c2ccc3nc(O)c4ccccc4c3n2)CC1,6.950781977329818
Oc1nc2ccccc2c2cccnc12,4.853871964321762
CN(C)CC(=O)Nc1cnc2c(c1)nc(O)c1ccccc12,6.782516055786093
CN1CCN(c2ccc3nc(O)c4ccccc4c3n2)CC1,7.346787486224656
NC(=O)c1ccccc1,4.698970004336019
Oc1nc2cnccc2c2ccccc12,6.772113295386326
CC(C)N1CCN(CC(=O)Nc2cnc3c(c2)nc(O)c2ccccc23)CC1,7.0655015487564325
O=[N+]([O-])c1ccc2nc(O)c3ccccc3c2c1,6.455931955649724
NC(=O)c1ccc(Br)cc1,2.657577319177794
NC(=O)c1ccc(O)cc1,3.552841968657781
Cc1cccc(C(N)=O)c1,4.721246399047171
NC(=O)c1ccc(F)cc1,3.6989700043360183
CN(C)c1cccc(C(N)=O)c1,3.9208187539523753
Oc1cccc2c(O)nccc12,6.4089353929735005
COc1cccc(C(N)=O)c1,4.769551078621726
NC(=O)c1cccc([N+](=O)[O-])c1,3.795880017344075
NC(=O)c1ccc(Cl)cc1,3.5228787452803374
NC(=O)c1ccc(N)cc1,2.744727494896694
NC(=O)c1cccc(N)c1,4.481486060122112
NC(=O)c1cccc(F)c1,4.698970004336019
NC(=O)c1cccc(Cl)c1,4.657577319177793
Cc1nc2c(C(N)=O)cccc2[nH]1,6.0
Oc1nncc2ccccc12,4.920818753952375
Nc1ccc2c3c(cccc13)C(=O)NC2=O,6.7447274948966935
NC(=O)c1cccc(Br)c1,4.259637310505756
O=S(=O)(O)c1ccc2c(c1)nc(O)c1cc(F)ccc12,8.0
O=S(=O)([O-])c1ccc2c(c1)nc(O)c1cc(S(=O)(=O)[O-])ccc12,4.0
Cc1cccc2c(O)nc3cc(F)ccc3c12,7.036212172654444
Cc1cccc2c(O)nc3cc(C(F)(F)F)c(N)cc3c12,7.356547323513812
Cc1cc2nc(O)c3ccccc3c2cc1NC(=O)C[N+](C)(C)C,6.709965388637482
Cc1cccc2c(O)nc3cc(C(F)(F)F)c(NC(=O)CCl)cc3c12,7.481486060122112
O=C([O-])c1ccc2c(c1)nc(O)c1ccccc12,7.244125144327507
Nc1cc2nc(O)c3ccccc3c2cc1N,6.7447274948966935
O=S(=O)(NCCN1CCCCC1)c1ccc2nc(O)c3ccccc3c2c1,7.522878745280337
O=C(O)c1cccc2c(O)nc3ccccc3c12,4.221848749616356
C[N+](C)(C)CC(=O)Nc1ccc2nc(O)c3ccccc3c2c1,7.522878745280337
Oc1nc2cc(Cl)ccc2c2ccc(Cl)cc12,6.619788758288394
COC(=O)c1ccc2c(c1)nc(O)c1ccccc12,6.735182176990463
O=C(NCCN1CCOCC1)c1ccc2c(c1)nc(O)c1cc(F)ccc12,7.853871964321762
O=C([O-])c1ccc2c(c1)nc(O)c1cc(F)ccc12,7.67778070526608
Nc1cccc2c1nc(O)c1ccccc12,6.505845405981557
COC(=O)c1ccc2c(c1)nc(O)c1cc(F)ccc12,7.431798275933005
O=S(=O)(NCCN1CCCCC1)c1ccc2nc(O)c3ccccc3c2c1,7.443697499232712
O=[N+]([O-])c1ccc2c(c1)nc(O)c1cc([N+](=O)[O-])ccc12,4.455931955649724
O=S(=O)(NCC(c1ccccc1)c1ccccc1)c1ccc2nc(O)c3ccccc3c2c1,4.853871964321762
O=C(NCCN1CCOCC1)c1ccc2c(c1)nc(O)c1ccccc12,7.455931955649724
Cc1cccc2c(O)nc3cc(C(F)(F)F)c([N+](=O)[O-])cc3c12,6.866461091629782
